,ZIPCode,Date,Densite
0,49002,2018,82.66
1,49003,2018,44.67
2,49007,2018,3617.61
3,49008,2018,22.94
4,49009,2018,25.97
5,49010,2018,18.89
6,49011,2018,64.75
7,49012,2018,69.17
8,49015,2018,887.94
9,49017,2018,43.68
10,49018,2018,44.01
11,49020,2018,273.94
12,49021,2018,171.53
13,49022,2018,107.2
14,49023,2018,101.57
15,49026,2018,60.56
16,49027,2018,142.89
17,49028,2018,56.56
18,49029,2018,52.2
19,49030,2018,46.37
20,49035,2018,343.06
21,49036,2018,47.63
22,49038,2018,46.31
23,49041,2018,60.65
24,49045,2018,21.76
25,49048,2018,212.61
26,49050,2018,89.83
27,49053,2018,74.53
28,49054,2018,576.37
29,49055,2018,143.91
30,49056,2018,34.6
31,49057,2018,40.83
32,49058,2018,63.56
33,49060,2018,99.66
34,49061,2018,16.71
35,49063,2018,169.27
36,49064,2018,31.1
37,49067,2018,20.56
38,49068,2018,50.87
39,49069,2018,104.61
40,49070,2018,25.12
41,49076,2018,71.97
42,49080,2018,61.12
43,49082,2018,63.98
44,49086,2018,69.75
45,49089,2018,34.13
46,49090,2018,56.08
47,49092,2018,64.77
48,49099,2018,619.48
49,49100,2018,24.31
50,49102,2018,15.64
51,49107,2018,45.09
52,49109,2018,50.43
53,49110,2018,59.26
54,49112,2018,69.78
55,49113,2018,73.68
56,49114,2018,10.6
57,49120,2018,88.97
58,49121,2018,19.9
59,49123,2018,117.05
60,49125,2018,74.72
61,49127,2018,55.66
62,49129,2018,249.65
63,49130,2018,52.03
64,49131,2018,27.68
65,49132,2018,79.18
66,49135,2018,85.07
67,49138,2018,43.66
68,49140,2018,103.91
69,49155,2018,53.27
70,49160,2018,204.33
71,49161,2018,25.98
72,49163,2018,45.39
73,49167,2018,179.05
74,49170,2018,42.85
75,49171,2018,23.79
76,49174,2018,60.38
77,49176,2018,104.19
78,49178,2018,25.79
79,49180,2018,70.78
80,49182,2018,33.77
81,49183,2018,37.6
82,49188,2018,39.83
83,49192,2018,95.45
84,49193,2018,120.56
85,49194,2018,139.15
86,49195,2018,134.83
87,49200,2018,117.98
88,49201,2018,118.36
89,49205,2018,54.94
90,49209,2018,47.95
91,49211,2018,46.24
92,49214,2018,544.61
93,49215,2018,76.39
94,49216,2018,48.21
95,49217,2018,69.54
96,49218,2018,79.39
97,49219,2018,84.39
98,49220,2018,41.84
99,49221,2018,20.47
100,49222,2018,78.3
101,49223,2018,326.32
102,49224,2018,73.3
103,49228,2018,18.66
104,49231,2018,110.58
105,49235,2018,65.9
106,49236,2018,25.25
107,49237,2018,25.47
108,49240,2018,45.26
109,49241,2018,268.05
110,49244,2018,93.91
111,49246,2018,655.29
112,49247,2018,133.17
113,49248,2018,44.33
114,49253,2018,74.06
115,49257,2018,121.17
116,49259,2018,84.14
117,49260,2018,120.09
118,49261,2018,59.76
119,49262,2018,51.97
120,49266,2018,44.79
121,49267,2018,631.21
122,49269,2018,127.17
123,49271,2018,63.26
124,49272,2018,107.44
125,49278,2018,229.0
126,49283,2018,109.38
127,49284,2018,70.7
128,49288,2018,125.14
129,49291,2018,52.9
130,49292,2018,114.98
131,49294,2018,208.54
132,49298,2018,151.04
133,49299,2018,309.79
134,49301,2018,118.88
135,49302,2018,34.69
136,49306,2018,112.96
137,49307,2018,139.12
138,49308,2018,408.22
139,49310,2018,22.31
140,49311,2018,80.59
141,49321,2018,30.19
142,49323,2018,296.62
143,49326,2018,275.42
144,49328,2018,401.49
145,49329,2018,63.59
146,49330,2018,69.03
147,49331,2018,72.34
148,49332,2018,133.96
149,49333,2018,102.15
150,49334,2018,45.48
151,49336,2018,27.68
152,49338,2018,112.26
153,49339,2018,82.63
154,49341,2018,84.64
155,49343,2018,150.78
156,49344,2018,74.83
157,49345,2018,60.82
158,49347,2018,130.77
159,49352,2018,105.15
160,49353,2018,1209.75
161,49355,2018,89.49
162,49358,2018,72.26
163,49359,2018,71.36
164,49361,2018,80.98
165,49362,2018,359.71
166,49364,2018,44.86
167,49367,2018,63.85
168,49368,2018,48.86
169,49369,2018,38.19
170,49370,2018,28.99
171,49371,2018,95.5
172,49373,2018,43.78
173,49374,2018,147.73
174,49377,2018,118.95
175,49378,2018,110.44
176,49381,2018,44.93
